round,local_training,shapley_computation,aggregation,evaluation
1,69.88016419997439,0.8224501999793574,0.1205809999955818,1.6931723000016063
2,69.354675999959,0.7321232999674976,0.12452819989994168,1.6856938999844715
3,69.94244729995262,0.7216707000043243,0.12402190000284463,1.697442000033334
4,69.95574190001935,0.737883499939926,0.12264289997983724,1.6811647000722587
5,70.07384009996895,0.7252614999888465,0.12343569996301085,1.6838369999313727
6,70.06847870000638,0.7277599000371993,0.121302800020203,1.6868565001059324
7,69.61395889997948,0.7281274000415578,0.12266890006139874,1.691968600032851
8,70.0434883000562,0.7393639000365511,0.12631550000514835,1.6866453000111505
9,69.89667769998778,0.7284559999825433,0.12627949996385723,1.682179700001143
10,69.91012120002415,0.7290227999910712,0.12815770006272942,1.7009595000417903
11,69.9646986000007,0.7235606999602169,0.12706920003984123,1.6921943000052124
12,69.75486969994381,0.7306531999493018,0.12801920005585998,1.6846922000404447
13,70.1921725999564,0.7496508000185713,0.12660329998470843,1.7359785999869928
14,71.66556400002446,0.722743000020273,0.12489220011048019,1.6886688999366015
15,69.86616360000335,0.7218173999572173,0.1330952999414876,1.6975570999784395
16,73.6049230999779,0.7251273000147194,0.12354030006099492,1.6734846000326797
17,69.47776909999084,0.7357586000580341,0.12165880005341023,1.6923258000751957
18,69.73728740005754,0.733068999950774,0.12819560000207275,1.6867368000093848
19,69.6420035000192,0.7328773000044748,0.12286540004424751,1.6796288000186905
20,70.89962110004853,0.7235445999540389,0.12825569999404252,1.688147500040941
21,69.81826139998157,0.7414414999075234,0.12744910002220422,1.6966838999651372
22,69.74970699998084,0.7232964000431821,0.12889300007373095,1.6953049000585452
23,69.94770869996864,0.7307047999929637,0.12059760000556707,1.6731082999613136
24,70.04973359999713,0.7291893999790773,0.12848289997782558,1.6895844000391662
25,69.92993550002575,0.7226867000572383,0.12744790001306683,1.7235257000429556
26,69.79030210000928,0.7251960999565199,0.12771449994761497,1.690464699990116
27,69.80004329991061,0.724962400039658,0.12603899999521673,1.6828368999995291
28,69.77189119998366,0.7265690999338403,0.12735069997143,1.6842175000347197
29,69.88543729996309,0.7261127000674605,0.1228670000564307,1.6935054999776185
30,69.90345710003749,0.7230868000769988,0.12412679998669773,1.6886688999366015
31,69.9167930999538,0.7364091000054032,0.13040460005868226,1.6926146000623703
32,69.63630190002732,0.7258154000155628,0.12856209999881685,1.676033700001426
33,69.7576595999999,0.7255540000041947,0.12546659994404763,1.6987560000270605
34,70.14206270000432,0.7326763999881223,0.1286644000792876,1.6867854000302032
35,70.05273350002244,0.7323723000008613,0.12823240004945546,1.682703600032255
36,69.6467647999525,0.7242525999899954,0.12261709989979863,1.675087400013581
37,69.91519859991968,0.7341732999775559,0.12565479998011142,1.7084678000537679
38,69.86078640003689,0.7312739000190049,0.1266280000563711,1.7085308999521658
39,69.72347369999625,0.7429149999516085,0.1310173999518156,1.7025375000666827
40,69.7095567000797,0.7338964999653399,0.1238358000991866,1.6902557000285015
41,69.8784531999845,0.728017000015825,0.12711949995718896,1.6874064999865368
42,69.80505090008955,0.7332925999071449,0.12782199995126575,1.6612385999178514
43,69.34226519998629,0.7233799999812618,0.13176190003287047,1.6888936000177637
44,69.2239570999518,0.7353684999980032,0.1216483999742195,1.688898100052029
45,69.59548570006154,0.7284377999603748,0.12380750000011176,1.6776367999846116
46,69.77769269992132,0.7283497999887913,0.12418929999694228,1.692725699977018
47,69.6880101999268,0.7242972000967711,0.12833580002188683,1.735560500063002
48,69.80875219998416,0.7233685998944566,0.12445690005552024,1.6838847000617534
49,69.65075779997278,0.7270429000491276,0.12768150004558265,1.6838467000052333
50,69.84946169995237,0.7293361000483856,0.12712640000972897,1.669574199942872
