round,client_3,client_4,client_1,client_2,client_0
1,0.02820103158950806,0.03659691886901856,0.04094906673431397,0.04096200218200684,0.030140034580230714
2,0.006722968067228794,0.0016391649901866914,0.007682538771629334,0.0069006155133247375,0.005730191254615784
3,0.003501640510559082,0.0024054631263017655,0.0026906812071800235,0.0025699214696884155,0.0035629663705825806
4,0.004781952294707298,-0.0002922123819589615,-0.000622456994652748,0.0015175952196121217,0.0047452784776687625
5,0.0006455702885985375,0.0022540242016315464,0.0013694523215293884,0.001189125818014145,0.0033666783213615417
6,0.001905454422533512,-0.0005698493868112564,0.002560671639442444,0.0024654507279396054,0.0026930348575115205
7,0.001189455109834671,-0.003061618709564209,0.001443017888069153,0.0013246869266033173,-0.000206308276951313
8,0.003650182771682739,-0.0009375907748937607,0.002463428196310997,0.002425540441274643,0.0013508589208126069
9,0.001467024201154709,-0.0011784061491489411,0.0026669715523719786,0.003947005468606948,-0.0003638609528541565
10,0.00041791840195655824,-0.0013931325316429138,0.004402931535243988,0.004905042898654938,0.0023938607394695284
11,0.002231130009889603,-0.0020858416736125947,0.002261039406061173,0.0008723397582769395,0.0022083622097969057
12,0.002969079500436783,-0.0017409822940826418,0.0016155623316764832,0.0025599610626697543,0.0027550759434700014
13,0.0013728250622749329,-0.0026677474141120912,0.0016774510383605957,3.49761039018631e-05,0.0012929278552532195
14,0.003495789134502411,-0.0034766606014221906,0.003221448850631714,0.0026502700626850127,0.0010296243622899056
15,0.0011959466248750688,-0.0038777401149272923,0.0005616108700633049,0.0006639652252197266,0.002881838685274124
16,0.001443430906534195,-0.003498496562242508,0.0018528783917427065,0.002749543297290802,0.001577139765024185
17,0.002542207610607147,-0.005531003622710705,0.001086842732131481,0.002420956555008888,0.0006593405455350876
18,0.0026405693054199217,-0.0033796439856290817,0.0029461859941482546,0.002655804681777954,0.0023063498914241793
19,0.001746027347445488,-0.005448368805646896,0.0018239565685391427,0.0013987388625741003,0.0006094801977276803
20,0.0011662605419754982,-0.004535228046774864,0.0021532512813806533,0.002222801162302494,0.000782423985004425
21,0.0010057442516088486,-0.005333308842778206,0.0016383957743644714,0.0022607669055461884,0.001183425122499466
22,0.0014933289647102357,-0.006120133927464485,0.0020287651062011716,0.0024996373534202578,0.0016867319166660307
23,0.0018905988126993178,-0.006171362185478211,0.0018762583017349244,0.0022676449239254,0.0018062500536441802
24,0.002190702930092812,-0.005842119042109698,0.0013566934019327165,0.001841671784222126,0.001379993772506714
25,0.0015016253516077994,-0.005638589209318161,0.001530110412836075,0.0025957163810729983,0.002126454094052315
26,0.0014658698990941048,-0.006490615260601044,0.0020450422018766404,0.002584234280884266,0.0023019154980778696
27,0.0025420339137315747,-0.007217406004667282,0.0014900093704462052,0.0023385638356208803,0.0021361990094184873
28,0.0009006602078676224,-0.00783972960114479,0.0021734266191720964,0.002708687710762024,0.0024735772371292115
29,0.0011330502241849898,-0.006804012900590897,0.00030617285966873166,0.002098498996347189,0.0013055872559547426
30,0.002205348402261734,-0.007420340332388878,0.0011456784307956696,0.0025950093030929567,0.0022585977792739867
31,0.0023896790117025374,-0.007746688851714134,0.00039330188930034634,0.0019308375656604767,9.951042011380196e-05
32,0.0013283410117030142,-0.006290667086839676,0.0015532283872365953,0.0012396708980202675,0.0006412384539842606
33,0.002256842142343521,-0.007048792722821236,0.0018069386988878251,0.0007274470403790474,0.0021666716784238815
34,0.0009337465465068817,-0.007873801988363266,-0.0009144957304000854,0.0010737431108951568,-0.00021362906768918036
35,-0.0009406163021922113,-0.008569568768143654,0.001783050800859928,0.001482429325580597,0.00027735379189252853
36,0.0008345726072788239,-0.006831700259912758,-0.0001701007857918739,0.00029200037941336634,0.00027727032601833346
37,-0.001014657410979271,-0.0073094164118170735,0.00032547356933355334,0.0018676564291119574,0.001834093973785639
38,-0.0005587104186415672,-0.006598407603800297,-0.0018697235882282257,0.0009416754990816116,-6.153231114149093e-05
39,-0.0019325923860073091,-0.005988601765036583,-0.0035100297152996065,-0.0008447595119476319,-0.00032039902210235594
40,0.0003135324649512768,-0.0031330857932567596,0.00045478807371109725,-7.643865048885347e-06,-0.0008655964210629463
41,-0.002511969995498657,-0.005046981689333916,-0.002372509589791298,-0.0010718690559268,-0.0021378866285085675
42,0.000854585849493742,-0.001939965623617172,0.0013241734728217127,0.0012046178333461285,-0.0013077498562633991
43,0.0004561444312334061,-0.002825977969169617,-0.003015264268219471,-0.0018557824097573759,-0.0017491484850645066
44,3.7478097900748254e-05,-0.00283611858561635,-0.003949410688877105,-0.001648448494821787,-0.004803770853579044
45,-0.002994643334951252,-0.0014875646993517874,-0.0023546063359826805,-0.002817349822446704,-0.0044357449013739825
46,-0.002251368549093604,-0.0002473374754190445,-0.00033690635263919827,0.001965415218472481,-0.001223774066567421
47,-0.0024833351870998744,-0.0015298487957566978,-0.0011200238186866046,0.0014426165588200092,-0.002878732595592737
48,-0.00388344086445868,0.0005867060825228692,-0.0017984098732471466,-0.003308147044479847,-0.0026980712822638453
49,-0.002754759808629751,0.00015039855893701315,-0.0011397981718182563,-0.00037685280246660115,-0.0004541592128574848
50,-0.0014161936772987248,-0.000963216156885028,-0.004827680999413133,-0.0015673066586256027,-0.00110772545253858
