round,client_2,client_4,client_1,client_0,client_3
1,0.02151439905166626,-0.026388349533081057,0.0009553426504135132,0.041247615814208986,-0.0029274722933769226
2,0.009711264967918395,0.011433944702148438,0.023954923152923583,-0.008154762983322144,0.004194478690624237
3,0.009585020542144775,0.006829534769058228,-0.007676712274551392,0.01984464406967163,0.0014899438619613648
4,0.009038544297218324,0.022013437747955323,0.03991246223449707,-0.005918741822242737,0.01779630661010742
5,0.02304723024368286,0.018181654214859008,-0.004383649528026581,0.04487534523010254,0.017354397773742675
6,0.003977099657058716,0.0324554443359375,0.05398711681365967,-0.004387655258178711,0.04200981616973877
7,0.024992191791534425,0.024251844882965088,-0.010177662372589111,0.044557957649230956,0.0010330662131309508
8,-0.00033279120922088625,0.020438985824584963,0.03868457317352295,-0.005075844526290894,0.03424555778503418
9,0.02205122470855713,0.021142277717590332,-0.005664551258087159,0.03308651208877564,-0.005332220792770386
10,0.0013609199225902559,0.014842275381088257,0.025160746574401857,-0.0031643566489219666,0.02521706819534302
11,0.014737592935562134,0.013514949083328247,-0.0066097331047058104,0.020799262523651125,-0.0027044126391410827
12,0.004859912395477295,0.012374646663665771,0.017216182947158813,-0.007293481230735779,0.013329715728759767
13,0.01278267502784729,0.01334726929664612,-0.005123437047004699,0.009930154085159302,-0.0029307428002357484
14,0.006322056651115418,0.009958137273788453,0.016450939178466798,-0.006188032031059265,0.009957389831542969
15,0.009837440252304078,0.011033546924591065,-0.0029342642426490786,0.007458562850952148,-0.001296987533569336
16,0.009361158609390258,0.008354294300079347,0.013400596380233765,-0.00862665057182312,0.005573787093162537
17,0.0071064746379852295,0.008139989376068116,-0.004743788838386536,0.005775556564331054,-0.0018832412362098695
18,0.010399065017700196,0.00720528244972229,0.010311284065246583,-0.00914534628391266,0.0028217262029647827
19,0.005535407662391662,0.006451832056045532,-0.00373850017786026,0.001336069107055664,-0.00403118908405304
20,0.01088250994682312,0.007383708953857422,0.007789990305900574,-0.009684745073318481,0.0012523552775382996
21,0.0043942612409591675,0.0049380469322204594,-0.002805435061454773,-0.0018226292729377747,-0.0021732909977436065
22,0.009367612600326538,0.0041141343116760255,0.006918514370918274,-0.007724733352661133,-0.0008069182187318802
23,0.004065367579460144,0.004734319448471069,-0.003686278462409973,-0.004636933207511902,-0.003929745554924011
24,0.008489678502082825,0.005919117331504822,0.006216257810592651,-0.008370614051818848,0.0014197908341884613
25,0.0037600350379943847,0.0016930170357227325,-0.001364855021238327,-0.006721909046173096,-0.002815147042274475
26,0.005970207452774048,0.005069900751113892,0.005617209672927856,-0.010348047018051148,-0.0015325468778610229
27,0.0014768099784851075,0.004240179061889649,-0.0015708215534687043,-0.007863077521324157,-0.005443924069404602
28,0.008692922592163086,0.004880198240280151,0.0054997849464416505,-0.009044158458709718,-0.0010648393630981446
29,0.0016178113222122192,0.0008157946169376374,-0.0009254305064678193,-0.007985966801643372,-0.0028348886966705323
30,0.005224676132202149,0.003624778687953949,0.006335658431053162,-0.01145833969116211,-0.003250600099563599
31,0.0014848914742469788,0.0008852539956569672,-0.0001568622887134552,-0.007475462555885315,-0.001821625828742981
32,0.007061012387275696,0.0012888115644454957,0.003610013425350189,-0.009685239791870118,-0.0023884549736976624
33,0.0005824974924325943,0.002480175197124481,0.0004890020564198494,-0.009926977753639222,-0.0019858643412590028
34,0.004139384031295776,0.0018692520260810853,0.0033730009198188783,-0.009541062712669373,7.600091397762299e-05
35,0.001010812073945999,0.0013112933933734894,0.0034381890296936034,-0.008524553775787353,-0.0021017128229141235
36,0.001257278174161911,0.00023131415247917175,0.002601398527622223,-0.009719211459159851,-0.0013294953107833862
37,0.000927562490105629,-0.0007010373473167419,0.0005015214160084725,-0.0062166303396224976,-0.001604120582342148
38,0.004620181620121002,2.000942826271057e-05,0.002549693584442139,-0.008927404284477233,0.0006993050873279571
39,0.000682191401720047,0.0002902871556580067,0.0009031278640031815,-0.009956476092338563,-0.002146775722503662
40,0.0032061544060707093,0.00032058134675025943,0.003832148313522339,-0.006795608401298523,0.0005552195012569428
41,0.00036465279757976534,-0.002738238871097565,0.0036835831403732302,-0.01314985990524292,0.0011729171872138977
42,0.00377440869808197,-0.0010357435792684555,0.005123313665390015,-0.008168164491653442,-7.262825965881348e-05
43,0.0009791190922260285,-0.0022121971845626832,0.0017732325196266174,-0.009929553866386413,-0.001128157153725624
44,0.00463703602552414,0.00014318354427814484,0.0062637776136398315,-0.007206194400787354,0.001631697714328766
45,-0.00018632069230079652,-0.002039801627397537,0.001749015748500824,-0.008041338920593262,6.427451968193055e-05
46,0.002467144727706909,5.9258565306663515e-06,0.002924829125404358,-0.004856497943401337,0.0006418169289827347
47,4.192921333014965e-05,-0.00027962174266576767,0.0014197243750095367,-0.0038283646106719972,0.0004531630128622055
48,0.0017039655148983002,0.00040030360221862796,0.0021910762786865236,-0.004842696785926819,0.0006639143824577332
49,0.001002391204237938,-0.0006505443155765534,0.0018601590394973755,-0.0032628223299980166,0.00021512322127819063
50,0.0007352779060602188,-0.00021273087710142136,0.0030808985233306886,-0.0029183539748191835,0.0008469948917627334
