round,local_training,shapley_computation,aggregation,evaluation
1,40.7984570839908,0.16243940603453666,0.07854634092655033,0.8320939609548077
2,41.28570469596889,0.14423305599484593,0.07960188703145832,0.777387117035687
3,41.20118190010544,0.1575234739575535,0.0800577609334141,0.7783765719505027
4,41.091944315005094,0.13401263009291142,0.07635231106542051,0.7658359400229529
5,40.947428624960594,0.12342866894323379,0.07666091492865235,0.7751943400362507
6,40.79367990605533,0.13649607298430055,0.07783470198046416,0.78973008308094
7,40.86796843900811,0.12467390799429268,0.07729351799935102,0.7830992110539228
8,40.995965050999075,0.11983571399468929,0.07489812595304102,0.7804019670002162
9,41.09926477097906,0.12733291904442012,0.07624735904391855,0.7659246769035235
10,40.982288273982704,0.12249785102903843,0.07611229503527284,0.7701091370545328
11,41.10277734999545,0.1253152530407533,0.0764348889933899,0.7743975690100342
12,40.80168491695076,0.13655847101472318,0.0781254400499165,0.7841689579654485
13,41.151191137963906,0.13544487999752164,0.07621013501193374,0.8075184359913692
14,43.508776393020526,0.1489846509648487,0.0821389319607988,0.8303580440115184
15,44.248205187032,0.14802544889971614,0.07894354709424078,0.8248125120298937
16,43.67781455593649,0.15445056895259768,0.07649420597590506,0.8396528610028327
17,43.51071526308078,0.13773724308703095,0.07682386098895222,0.7819676559884101
18,41.02931691799313,0.12658104090951383,0.07675897399894893,0.7699534499552101
19,40.938859220943414,0.13144867401570082,0.07765079091768712,0.774956078035757
20,40.90989319200162,0.13421095092780888,0.07708869699854404,0.7622441800776869
21,41.00011341494974,0.12103583198040724,0.0779605460120365,0.759681120980531
22,40.921030640020035,0.12152000900823623,0.07742685405537486,0.7733325880253688
23,39.885616907035,0.12386397400405258,0.0787058649584651,0.7640386139973998
24,40.85011816001497,0.11980366799980402,0.07704145007301122,0.7670531070325524
25,40.80669667304028,0.13270498695783317,0.07735078397672623,0.7680025920271873
26,40.734958293964155,0.13424037699587643,0.07813178899232298,0.7748442679876462
27,40.56538198504131,0.12873626803047955,0.07636861794162542,0.7738460350083187
28,40.63455554598477,0.12560195906553417,0.07668819301761687,0.7706468350952491
29,41.07798839895986,0.14680634008254856,0.0761496479390189,0.777096368954517
30,40.96690557699185,0.12448861706070602,0.07667334494180977,0.8008175470167771
31,40.70593429694418,0.12013420998118818,0.07590264792088419,0.7806444029556587
32,41.011858626967296,0.13623457099311054,0.0809550149133429,0.7754273479804397
33,40.933352850959636,0.13859173597302288,0.07772815797943622,0.7670048120198771
34,40.79371745500248,0.12020570202730596,0.075179761974141,0.7754340979736298
35,40.79954248503782,0.13664634607266635,0.07702691003214568,0.7651678780093789
36,40.809144316008314,0.1251818899763748,0.08058442396577448,0.7718308960320428
37,40.85645463492256,0.15176423802040517,0.07668679195921868,0.7910282380180433
38,40.83192319900263,0.1310304410289973,0.07541753596160561,0.7813320209970698
39,40.57591850601602,0.1376855520065874,0.07776659401133657,0.7684282979462296
40,40.99019150505774,0.12882680899929255,0.07768599095288664,0.7788404620951042
41,40.792174716014415,0.13656430505216122,0.0769184980308637,0.7668655129382387
42,40.95232257700991,0.12473262206185609,0.07655477290973067,0.7722240880830213
43,40.77341077104211,0.12732007598970085,0.07636437600012869,0.7849057209677994
44,40.866113552008756,0.12671759095974267,0.0766166050452739,0.770883079036139
45,40.80643424508162,0.12758504296652973,0.0760255471104756,0.7689913989743218
46,40.31871413101908,0.12744523002766073,0.07562912011053413,0.7677104059839621
47,40.73792104492895,0.12947823200374842,0.07841883890796453,0.7717185529181734
48,40.79593240597751,0.147605235921219,0.07694538601208478,0.7712792430538684
49,40.81225997407455,0.12874456401914358,0.07713843800593168,0.7681576840113848
50,40.909124696976505,0.13627236592583358,0.07677833701018244,0.7644502690527588
