round,local_training,shapley_computation,aggregation,evaluation
1,38.220772805972956,0.1775395900476724,0.07176336902193725,0.7861850400222465
2,37.95083791902289,0.13432220299728215,0.07390414795372635,0.777465048013255
3,38.40207935497165,0.1277774659683928,0.07423577294684947,0.7638046370120719
4,38.32528257602826,0.14483775105327368,0.08386818401049823,0.7677473590010777
5,39.80047120898962,0.1408052690094337,0.08171757298987359,0.7698628520593047
6,40.535875990986824,0.1330232050968334,0.07428571197669953,0.7644203880336136
7,39.4971729030367,0.14755387499462813,0.08006885601207614,0.7979007649701089
8,38.566425658995286,0.14355939289089292,0.07522961695212871,0.7754002790898085
9,38.45603227394167,0.1437812470830977,0.07415734697133303,0.7772561149904504
10,37.987406658008695,0.1390801320085302,0.07647678803186864,0.7636706460034475
11,39.22618159407284,0.1419299419503659,0.07733385707251728,0.7604006830370054
12,38.12410944199655,0.14155481895431876,0.0760228909784928,0.7654048269614577
13,38.18922737892717,0.13612047396600246,0.07124766404740512,0.7646037540398538
14,37.58760240196716,0.13840925798285753,0.07423177093733102,0.7787422930123284
15,38.21904832392465,0.13013579498510808,0.07242802693508565,0.768442009924911
16,38.24731319304556,0.12938903598114848,0.07208426797296852,0.7570941160665825
17,37.95993884000927,0.12863501394167542,0.07473522098734975,0.7671078130370006
18,38.30180802603718,0.1398118439828977,0.0781192610738799,0.7709513059817255
19,38.31888806098141,0.13118471298366785,0.07489103102125227,0.764900304027833
20,38.51791884901468,0.12318871298339218,0.07346387195866555,0.7548173870891333
21,37.972980726044625,0.12222548690624535,0.07442829001229256,0.7648767289938405
22,38.7014177510282,0.14522002101875842,0.07995346805546433,0.8065634660888463
23,38.83161345298868,0.13079578196629882,0.07446840801276267,0.7616698739584535
24,37.905676930909976,0.12361021805554628,0.07348464196547866,0.7558958439622074
25,38.05359318200499,0.12058943300507963,0.0714962671045214,0.7546622820664197
26,37.80463950999547,0.13131200696807355,0.07459445600397885,0.7604131320258602
27,37.47918198606931,0.11899281898513436,0.0737988919718191,0.7512323060072958
28,37.54113428690471,0.12737050605937839,0.07350964890792966,0.7583145120879635
29,39.747827049926855,0.11703870794735849,0.07349960797000676,0.7591082219732925
30,38.364217660040595,0.13290276401676238,0.07597106997855008,0.760441985912621
31,38.33582773501985,0.14017080306075513,0.07377741008531302,0.7734383089700714
32,37.93787209596485,0.12746209907345474,0.07388844003435224,0.7540037900907919
33,38.41062715603039,0.12795975001063198,0.07166650507133454,0.7626961510395631
34,37.878820413025096,0.1247622489463538,0.07363286695908755,0.7639334260020405
35,37.71883508004248,0.11570492095779628,0.0746675810078159,0.7571479179896414
36,37.41032971290406,0.12031134404242039,0.07582594302948564,0.7604179489426315
37,37.866709447000176,0.11915224301628768,0.07410234399139881,0.766297701979056
38,38.247546260012314,0.12190977903082967,0.07279931590892375,0.7689281140919775
39,39.060088793048635,0.12807795405387878,0.07464746001642197,0.8376806429587305
40,42.65935681806877,0.1484685380710289,0.07700440799817443,0.8264483090024441
41,41.59756181796547,0.13583054498303682,0.07279129605740309,0.7890521279769018
42,42.48550859896932,0.14425010094419122,0.0723469580989331,0.8151368879480287
43,42.076504569966346,0.14113256998825818,0.07937966007739305,0.8018095949664712
44,40.92426154692657,0.13006280991248786,0.07306732202414423,0.7658019689843059
45,37.61168391199317,0.1331094210036099,0.07506818603724241,0.766415162011981
46,38.075282374979,0.12808738590683788,0.07381434296257794,0.7708381949923933
47,38.25069066404831,0.1231760480441153,0.07243958592880517,0.7624981360277161
48,38.049570431001484,0.12154504901263863,0.07530578994192183,0.7516369950026274
49,38.00506628502626,0.11932744702789932,0.07352814392652363,0.7590620470000431
50,39.30184016597923,0.11767523200251162,0.07769759197253734,0.7617932900320739
