round,client_2,client_4,client_1,client_0,client_3
1,0.007066258192062378,0.01648672580718994,0.02304391384124756,0.0038544881343841554,0.011427696943283081
2,0.012055649757385253,0.0010971839725971223,0.012441190481185914,0.010815848112106324,0.009812522530555725
3,0.005079626441001892,-0.0036757978796958923,0.004667741060256958,0.0017670738697052003,0.0052589672803878785
4,0.0036748948693275454,-0.0026704907417297364,0.003647759854793549,0.0026406329870224,0.004770271480083466
5,0.001892993450164795,-0.005856614708900452,0.0030467829108238222,0.0015019170939922332,0.0010087259113788604
6,0.00041753370314836504,-0.009167211055755615,0.0016305065155029297,-0.0005898386612534524,0.0006903999298810959
7,-0.0012997761368751526,-0.012588229179382324,-0.0009222619235515595,0.00027861792594194415,-0.0009501537680625915
8,-0.0025755304098129274,-0.017584457397460937,-0.005314419865608215,-0.00478851318359375,-0.0037689104676246646
9,-0.005834963321685791,-0.015981602668762206,-0.007619929313659668,-0.00487612783908844,-0.007673676609992981
10,-0.006007505655288696,-0.01035206913948059,-0.007714564800262451,-0.0058492708206176755,-0.007321580052375793
