round,local_training,shapley_computation,aggregation,evaluation
1,15.727720831986517,0.14901870000176132,0.07313840196002275,0.791417854023166
2,15.466783497016877,0.12431708199437708,0.07497343292925507,0.7673719719750807
3,15.681228250963613,0.12201682908926159,0.07289474492426962,0.752065995009616
4,15.161768432008103,0.1390810249140486,0.07281333103310317,0.7564327870495617
5,15.16214074997697,0.12062439799774438,0.07359709800221026,0.7784418880473822
6,15.304452560958453,0.115027307998389,0.07400699309073389,0.7500196020118892
7,15.030366722028702,0.11430368199944496,0.0731922599952668,0.7709398400038481
8,15.190338563988917,0.12357640895061195,0.07221576396841556,0.7682895720936358
9,15.33770861395169,0.11761744902469218,0.0738357650116086,0.7991283459123224
10,15.440694727003574,0.11744340695440769,0.07288493902888149,0.7568517200415954
11,15.348322147037834,0.12737681705038995,0.07315288006793708,0.7865944650257006
12,15.501514867995866,0.1235037469305098,0.07744204404298216,0.7614378290018067
13,15.423791766981594,0.11982683499809355,0.07365075498819351,0.7586060659959912
14,15.434967259992845,0.11984404094982892,0.07254606601782143,0.755564538994804
15,15.374823641963303,0.12905408698134124,0.07309287798125297,0.7561808340251446
16,15.488939033006318,0.11924149596598,0.07362838101107627,0.7680152799002826
17,15.509220091043971,0.12378842697944492,0.07420015102252364,0.7555263630347326
18,15.255391246988438,0.12571926205419004,0.07340226403903216,0.7570050400681794
19,14.956908712047152,0.12315178196877241,0.07338251499459147,0.7616096719866619
20,15.482479939004406,0.12010778696276248,0.07420888403430581,0.7633546810830012
21,15.170151583035477,0.11757907900027931,0.0741727240383625,0.7602000701008365
22,15.735374639043584,0.11700583703350276,0.07276807993184775,0.7577646439895034
23,15.366926503018476,0.12030108494218439,0.07288836594671011,0.7548967389157042
24,15.797437564004213,0.11510149901732802,0.07404027495067567,0.7552827780600637
25,15.70223440497648,0.11922988900914788,0.07212598202750087,0.7513560199877247
26,15.338062455994077,0.11755936802364886,0.07868647400755435,0.7541553680785
27,15.082201819983311,0.12021722400095314,0.0741337010404095,0.7600688029779121
28,15.060745539027266,0.1183032039552927,0.0735523859038949,0.7524031120119616
29,15.50316461105831,0.11475409101694822,0.07290714501868933,0.7712591818999499
30,15.275734635069966,0.11206313699949533,0.07487425010185689,0.7684666709974408
31,15.227063230006024,0.12382681702729315,0.07121225097216666,0.7468334279255942
32,14.970499373041093,0.12250827602110803,0.07576252392027527,0.7474400090286508
33,15.192045685020275,0.13038076099473983,0.07385981001425534,0.7606884449487552
34,15.54268943099305,0.12034740706440061,0.07437549601309001,0.7588971890509129
35,15.390141202020459,0.11634688905905932,0.07220434898044914,0.7567161029437557
36,15.720696210977621,0.12339702295139432,0.0784004390006885,0.7786040630890056
37,16.32149131107144,0.11938184092286974,0.07226224790792912,0.7591161000309512
38,15.468084281077608,0.11973499099258333,0.07416658895090222,0.7623872659169137
39,15.700967867975123,0.1268817309755832,0.07506104407366365,0.7639339909655973
40,15.398515771958046,0.12884602299891412,0.07441248907707632,0.7581037590280175
41,15.149918755982071,0.13115521997679025,0.07261637505143881,0.7716210570652038
42,15.74036338890437,0.12624582403805107,0.07414464198518544,0.7807841339381412
43,15.285331346909516,0.12100003205705434,0.0754159219795838,0.7521877980325371
44,15.35402124200482,0.1362307759700343,0.07480194000527263,0.7543633769964799
45,15.203640850959346,0.12539778801146895,0.075267578009516,0.7634497310500592
46,15.347853354993276,0.12361149198841304,0.07385577296372503,0.7541240800637752
47,15.534271129057743,0.12676061294041574,0.07385990000329912,0.763802109984681
48,15.376767362002283,0.12410262995399535,0.0735391880152747,0.76067852799315
49,15.289872943074442,0.1249269830295816,0.0744486820185557,0.7637500610435382
50,15.599039805936627,0.1240721510257572,0.07463439600542188,0.766985830035992
51,15.475999374990351,0.11236553499475121,0.07514932902995497,0.75888629804831
52,15.367406283970922,0.12364019302185625,0.07561204396188259,0.75771254603751
53,15.608788395999,0.11284982098732144,0.07417735795024782,0.7625690489076078
54,16.461101033026353,0.1223109969869256,0.07872719597071409,0.7729742979863659
55,16.341272067977116,0.11939029407221824,0.07418970600701869,0.7625950409565121
56,16.074389935005456,0.12386549497023225,0.07964990509208292,0.7765423640375957
57,16.83279869996477,0.12657867197412997,0.07747956097591668,0.7765921680256724
58,16.12011410400737,0.12998217495623976,0.07807693700306118,0.7667371130082756
59,15.807521285954863,0.13805846904870123,0.08084380906075239,0.7656927739735693
60,16.853912574006245,0.1411514689680189,0.0777856889180839,0.7834788400214165
61,16.80188539798837,0.12530745298136026,0.07686632999684662,0.789834463968873
62,16.719171375967562,0.12091418309137225,0.07724119303748012,0.7611607019789517
63,16.705838126013987,0.12240642192773521,0.07654597004875541,0.7573437669780105
64,16.808492157026194,0.12833755696192384,0.07813500601332635,0.7702534819254652
65,16.737773973029107,0.12419490597676486,0.0774323740042746,0.7636389000108466
66,16.824805993936025,0.12055533297825605,0.08123480598442256,0.7697520310757682
67,16.76883605099283,0.13120564899872988,0.07470873498823494,0.7750986879691482
68,16.715112088946626,0.11362756497692317,0.0749109290773049,0.7552236820338294
69,16.735986595973372,0.1268680120119825,0.0745122020598501,0.765711048967205
70,16.72803975897841,0.11313946498557925,0.07726514199748635,0.7572309259558097
71,16.746170555939898,0.12185458501335233,0.0751021079486236,0.7594261469785124
72,16.739900350919925,0.12283379794098437,0.0764033830491826,0.7553452730644494
73,16.314487050985917,0.11626313207671046,0.0784769399324432,0.7564565649954602
74,16.685550936032087,0.13738670898601413,0.07640212192200124,0.774213592056185
75,16.316721657058224,0.1253152210265398,0.07670703798066825,0.7555270110024139
76,16.629401359939948,0.12028398003894836,0.07661979598924518,0.7582525949692354
77,16.739666336099617,0.12071344594005495,0.07668414292857051,0.7585717650363222
78,16.63473319890909,0.12020140292588621,0.07647048402577639,0.7571054250001907
79,16.664944921038114,0.12480465194676071,0.0776303670136258,0.7584601960843429
80,16.649862657068297,0.12023729202337563,0.07484993000980467,0.7732834230409935
81,16.69834866304882,0.11497759004123509,0.07826672296505421,0.7603896739892662
82,15.582421901985072,0.12076439592055976,0.07589391304645687,0.7666416299762204
83,16.580203045043163,0.12306232703849673,0.07571042701601982,0.7598492109682411
84,16.672780412016436,0.12131407193373889,0.0761594109935686,0.7582650720141828
85,16.291937528993003,0.11630409699864686,0.07564902503509074,0.7755297289695591
86,16.63017931894865,0.11896586406510323,0.07718907203525305,0.7629966650856659
87,16.673521501012146,0.12317496596369892,0.07810437201987952,0.7751622169744223
88,16.25337082205806,0.1255974139785394,0.08015469100791961,0.7765136070083827
89,16.290271547972225,0.12288050400093198,0.07606004201807082,0.7548328380798921
90,16.691719498950988,0.12254448793828487,0.07426002598367631,0.7716796409804374
91,16.597548132995144,0.12447170598898083,0.07608785503543913,0.7634499659761786
92,16.75089875399135,0.12133134889882058,0.07653257192578167,0.7562286019092426
93,16.598419307963923,0.12860579194966704,0.07614527095574886,0.7560751209966838
94,16.727463321993127,0.11960339196957648,0.0767470640130341,0.756039617001079
95,16.615415596985258,0.11705497791990638,0.07557554601226002,0.7616424440639094
96,16.63742180808913,0.11706998094450682,0.07943763199727982,0.7548543490702286
97,16.247884382959455,0.12051877903286368,0.07509467902127653,0.7560745329828933
98,16.244625161984004,0.1137047050287947,0.07624007004778832,0.7633021380752325
99,16.643011679989286,0.12002067000139505,0.0799366410356015,0.7960597940254956
100,16.605418472085148,0.1248444749508053,0.07661016494967043,0.7573402440175414
101,16.770450935000554,0.12040113692637533,0.07602035207673907,0.771118170931004
102,16.18894810299389,0.11814540904015303,0.07657212601043284,0.7666709159966558
103,16.85939804802183,0.13212866999674588,0.07636926090344787,0.7683871129993349
104,16.764797246083617,0.13124872604385018,0.07517084793653339,0.7586633909959346
105,16.694187231943943,0.13056199403945357,0.07661866291891783,0.7651889839908108
106,16.73575387103483,0.12560168304480612,0.07705952494870871,0.7569058309309185
107,16.689575835014693,0.1231918940320611,0.07550131506286561,0.7610824849689379
108,16.638422252959572,0.12399308604653925,0.07620143401436508,0.7651716470718384
109,16.75874028704129,0.11869094090070575,0.07705030892975628,0.768245134036988
110,16.67915353598073,0.12006201106123626,0.07598063198383898,0.7607259269570932
111,16.643481282982975,0.12319841200951487,0.07589625602122396,0.7720791830215603
112,16.651887312997133,0.12549249199219048,0.07470326498150826,0.7797901389421895
113,16.037422164925374,0.11589676898438483,0.0758874739985913,0.7690330820623785
114,16.56538929103408,0.12383658497128636,0.07599208096507937,0.7700662330025807
115,16.673508442938328,0.11993142496794462,0.07691430405247957,0.7556669909972697
116,15.728508267086,0.11440612701699138,0.07430538500193506,0.7744136679684743
117,16.569151480915025,0.1277221570489928,0.07995150599163026,0.7571433590492234
118,16.823140789056197,0.11980073910672218,0.07631257001776248,0.770785799017176
