round,local_training,shapley_computation,aggregation,evaluation
1,190.65941570000723,0.15644463198259473,0.07871622196398675,0.7882867529988289
2,191.84675790800247,0.14663506508804858,0.0790958049474284,0.7796440010424703
3,189.72677511000074,0.13618624093942344,0.07439322501886636,0.7588554969988763
4,190.53819403494708,0.12986038997769356,0.07318106503225863,0.7621027880813926
5,189.56334877607878,0.13820120505988598,0.07376607193145901,0.760528982966207
6,190.25745242799167,0.13256965694017708,0.07616176304873079,0.7581416741013527
7,190.27579307788983,0.1339371840003878,0.0736915209563449,0.7555066689383239
8,194.81911165907513,0.12903850700240582,0.07208856591023505,0.760632749996148
9,198.29240995296277,0.12948483100626618,0.07424130500294268,0.7505034279311076
10,190.00336127600167,0.12971992697566748,0.07228046504314989,0.7506593040889129
