round,local_training,shapley_computation,aggregation,evaluation
1,191.62821512902156,0.15048733004368842,0.07437924295663834,0.7893810109235346
2,189.50059138797224,0.12449762201867998,0.0761965790297836,0.775398854049854
3,191.82354486500844,0.12939715397078544,0.07626792008522898,0.7806666110409424
4,191.70131645700894,0.12764666695147753,0.0746458669891581,0.7678567889379337
5,191.55719228403177,0.12409500498324633,0.073358936002478,0.7657082300866023
6,191.36974997189827,0.1317981779575348,0.0724795350106433,0.7670206000329927
7,190.8066746899858,0.12963043595664203,0.07529693003743887,0.8021249079611152
8,201.7694177889498,0.14002312999218702,0.07964283204637468,0.7916688340483233
9,203.18614241597243,0.12891205307096243,0.08008743892423809,0.7791470920201391
10,201.32163706992287,0.13643074210267514,0.07978682592511177,0.7782300739781931
