round,client_2,client_1,client_3,client_0,client_4
1,0.07033205032348633,0.07504728794097901,0.08078851699829102,0.07544421195983887,0.050986013412475585
2,0.014556550979614257,0.011768966913223267,0.013144993782043457,0.013683744668960572,0.0030762535333633424
3,0.0021395908296108247,0.0037162446975708007,0.0018030548095703126,0.003551413416862488,-0.000125020369887352
4,0.0031020379066467284,0.0027039897441864013,0.0049314570426940915,0.0010602357983589173,-4.976227879524231e-05
5,0.0017111283540725709,-1.221771351993084e-05,0.001318708062171936,0.0007842529565095902,-0.002268141210079193
6,0.0034565898776054383,0.0031514233350753785,0.0022922183573246004,0.0030300730466842653,-0.0021258147060871126
7,0.0009116230905055999,0.0018572720885276794,0.0006005336344242096,-5.714889615774155e-05,-0.0035098084807395936
8,0.0020313683152198793,0.004798351526260376,0.0028016322851181033,0.003221801221370697,-0.0021335022151470185
9,0.0010122579336166381,0.00156840980052948,0.0007229554653167725,9.97947296127677e-06,-0.003940891027450562
10,0.0013758240640163422,0.0019767646491527556,0.0028193673491477968,0.0016030034422874451,-0.004263226389884949
11,0.0011951474845409394,0.0009794671833515168,0.0007410376518964767,0.0017946523427963257,-0.005311126708984375
12,0.0028300929069519044,0.0015259456634521484,0.0014711196720600128,0.0013604919612407685,-0.007056351304054261
13,0.001499328911304474,0.0023183509707450866,0.0016797259449958801,0.001843024492263794,-0.0066404640674591064
14,0.0008250552415847779,0.001687556803226471,0.001174539625644684,0.0019181692600250245,-0.00813174307346344
15,0.0008650913834571839,0.0011797741800546647,0.00214331790804863,0.0019524049758911134,-0.008186635971069335
16,0.0004365944862365723,0.0007429365813732148,0.0008723998069763184,0.0014396315813064576,-0.008725734949111939
17,-0.0007203511148691177,0.0001407611556351185,0.0007518282532691956,0.0007942188531160355,-0.009896159172058105
18,0.00020090293139219284,0.00026383908465504646,-0.0003508562967181206,0.0017730589210987091,-0.011248183250427247
19,-0.0012918540835380554,-0.0021223127841949463,0.00024145139381289481,0.00019520651549100875,-0.010686933994293213
20,0.0004358358681201935,-0.0009874707460403444,-0.0017874732613563538,0.0008367481827735901,-0.010570015907287598
21,-0.0016573840379714966,-0.0011930208653211595,0.0001752246916294098,0.0001894373819231987,-0.010234184265136718
22,-0.00279391348361969,-0.0039010918140411376,-0.0029549926519393923,-0.001419805884361267,-0.009418066740036011
23,-0.002929421365261078,-0.0027373123168945314,-0.0014071375131607057,-0.004579132199287414,-0.006898636817932129
24,-0.002576177716255188,-0.0032412749528884888,-0.0022510671615600586,-0.0009281263500452042,-0.0058211547136306765
25,-0.0026463791728019714,-0.0017412787675857545,-0.0013301944732666015,-0.002031756639480591,-0.005337504744529724
